end_period_ts,end_time,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,price_previous,price_min,price_max,volume,open_interest,price_close_prob
1762733040,2025-11-10 00:04:00+00:00,6,6,6,6,12,12,12,12,,,,,,5,,,0,20185,
1762735920,2025-11-10 00:52:00+00:00,6,6,6,6,12,12,12,12,,,,,,5,,,0,20185,
1762738200,2025-11-10 01:30:00+00:00,6,6,6,6,12,12,12,12,,,,,,5,,,0,20185,
1762738680,2025-11-10 01:38:00+00:00,6,6,6,6,12,14,12,13,12.0,14.0,12.0,14.0,13.0,5,,,358,20297,0.14
1762739700,2025-11-10 01:55:00+00:00,6,6,6,6,13,13,13,13,,,,,,14,,,0,20297,
1762739760,2025-11-10 01:56:00+00:00,6,6,6,6,13,13,13,13,,,,,,14,,,0,20297,
1762740000,2025-11-10 02:00:00+00:00,6,6,6,6,13,13,13,13,13.0,13.0,13.0,13.0,13.0,14,,,7,20297,0.13
1762740420,2025-11-10 02:07:00+00:00,6,7,6,7,13,13,13,13,,,,,,13,,,0,20297,
1762743180,2025-11-10 02:53:00+00:00,7,7,7,7,13,13,13,13,,,,,,13,,,0,20297,
1762743420,2025-11-10 02:57:00+00:00,7,7,7,7,13,13,12,12,,,,,,13,,,0,20297,
1762743480,2025-11-10 02:58:00+00:00,7,7,7,7,12,13,12,13,,,,,,13,,,0,20297,
1762744560,2025-11-10 03:16:00+00:00,7,7,7,7,13,13,12,12,,,,,,13,,,0,20297,
1762746840,2025-11-10 03:54:00+00:00,7,7,7,7,12,12,12,12,,,,,,13,,,0,20297,
1762748220,2025-11-10 04:17:00+00:00,7,7,7,7,12,12,11,11,,,,,,13,,,0,20297,
1762748940,2025-11-10 04:29:00+00:00,7,7,7,7,11,11,11,11,,,,,,13,,,0,20297,
1762751880,2025-11-10 05:18:00+00:00,7,7,7,7,11,11,11,11,,,,,,13,,,0,20297,
1762752480,2025-11-10 05:28:00+00:00,7,7,7,7,11,11,11,11,,,,,,13,,,0,20297,
1762753320,2025-11-10 05:42:00+00:00,7,7,7,7,11,11,11,11,,,,,,13,,,0,20297,
1762755660,2025-11-10 06:21:00+00:00,7,7,7,7,11,11,11,11,,,,,,13,,,0,20297,
1762758360,2025-11-10 07:06:00+00:00,7,7,7,7,11,11,11,11,,,,,,13,,,0,20297,
1762758600,2025-11-10 07:10:00+00:00,7,7,7,7,11,11,11,11,,,,,,13,,,0,20297,
1762761480,2025-11-10 07:58:00+00:00,7,7,7,7,11,11,11,11,,,,,,13,,,0,20297,
1762763460,2025-11-10 08:31:00+00:00,7,7,7,7,11,11,11,11,,,,,,13,,,0,20297,
1762764240,2025-11-10 08:44:00+00:00,7,7,7,7,11,11,11,11,,,,,,13,,,0,20297,
1762766940,2025-11-10 09:29:00+00:00,7,7,7,7,11,11,11,11,,,,,,13,,,0,20297,
1762768620,2025-11-10 09:57:00+00:00,7,7,7,7,11,11,11,11,,,,,,13,,,0,20297,
1762769700,2025-11-10 10:15:00+00:00,7,7,7,7,11,11,11,11,,,,,,13,,,0,20297,
1762772400,2025-11-10 11:00:00+00:00,7,7,7,7,11,11,11,11,,,,,,13,,,0,20297,
1762773720,2025-11-10 11:22:00+00:00,7,7,7,7,11,11,11,11,,,,,,13,,,0,20297,
1762775160,2025-11-10 11:46:00+00:00,7,7,7,7,11,11,11,11,,,,,,13,,,0,20297,
1762778880,2025-11-10 12:48:00+00:00,7,7,7,7,11,11,11,11,,,,,,13,,,0,20297,
1762780560,2025-11-10 13:16:00+00:00,7,7,7,7,11,11,11,11,,,,,,13,,,0,20297,
1762780680,2025-11-10 13:18:00+00:00,7,7,7,7,11,11,11,11,,,,,,13,,,0,20297,
1762783920,2025-11-10 14:12:00+00:00,7,7,7,7,11,11,11,11,,,,,,13,,,0,20297,
1762783980,2025-11-10 14:13:00+00:00,7,7,7,7,11,11,11,11,,,,,,13,,,0,20297,
1762785960,2025-11-10 14:46:00+00:00,7,7,7,7,11,11,11,11,,,,,,13,,,0,20297,
1762787340,2025-11-10 15:09:00+00:00,7,7,7,7,11,11,11,11,,,,,,13,,,0,20297,
1762789200,2025-11-10 15:40:00+00:00,7,7,7,7,11,11,11,11,,,,,,13,,,0,20297,
1762789260,2025-11-10 15:41:00+00:00,7,7,7,7,11,11,11,11,,,,,,13,,,0,20297,
1762790460,2025-11-10 16:01:00+00:00,7,7,6,6,11,11,11,11,,,,,,13,,,0,20297,
1762790520,2025-11-10 16:02:00+00:00,6,6,6,6,11,11,8,8,,,,,,13,,,0,20297,
1762790760,2025-11-10 16:06:00+00:00,6,6,6,6,8,8,8,8,,,,,,13,,,0,20297,
1762790820,2025-11-10 16:07:00+00:00,6,6,6,6,8,8,7,7,,,,,,13,,,0,20297,
1762791900,2025-11-10 16:25:00+00:00,6,6,6,6,7,7,7,7,,,,,,13,,,0,20297,
1762794360,2025-11-10 17:06:00+00:00,6,6,6,6,7,7,7,7,,,,,,13,,,0,20297,
1762794480,2025-11-10 17:08:00+00:00,6,6,6,6,7,7,7,7,,,,,,13,,,0,20297,
1762797900,2025-11-10 18:05:00+00:00,6,6,6,6,7,7,7,7,,,,,,13,,,0,20297,
1762798560,2025-11-10 18:16:00+00:00,6,6,4,4,7,7,6,6,6.0,6.0,5.0,5.0,5.0,13,,,60,20354,0.05
1762798620,2025-11-10 18:17:00+00:00,4,4,4,4,6,6,5,5,,,,,,5,,,0,20354,
1762799760,2025-11-10 18:36:00+00:00,4,4,4,4,5,5,5,5,,,,,,5,,,0,20354,
1762802100,2025-11-10 19:15:00+00:00,4,4,4,4,5,5,5,5,,,,,,5,,,0,20354,
1762805040,2025-11-10 20:04:00+00:00,4,4,4,4,5,5,5,5,,,,,,5,,,0,20354,
1762805580,2025-11-10 20:13:00+00:00,4,4,4,4,5,5,5,5,,,,,,5,,,0,20354,
